kommunenummer,kommune,fylkesnummer,fylke,aar_start,aar_slutt,folkemengde_start,folkemengde_slutt,vekst,vekst_pst,fodselsoverskudd_sum,nettoinnflytting_sum,folketilvekst_sum,restledd_sum,grenseavvik_sum,grenseavvik_maks_pst,grenseavvik_maks_aar,aar_uten_folketall,aar_med_stromtall,sammenlignbar,rangering
5522,Salangen,55,Troms - Romsa - Tromssa,2011,2026,2179,2132,-47,-0.021569527306103717,-107.0,60.0,-47.0,0.0,0.0,0.0,2011,0.0,15,true,230
1563,Sunndal,15,Møre og Romsdal,2011,2026,7267,7094,-173,-0.023806247419843128,-241.0,58.0,-173.0,10.0,0.0,0.0,2011,0.0,15,true,231
5538,Storfjord - Omasvuotna - Omasvuono,55,Troms - Romsa - Tromssa,2011,2026,1894,1848,-46,-0.024287222808870117,-74.0,28.0,-46.0,0.0,0.0,0.0,2011,0.0,15,true,232
1832,Hemnes,18,Nordland - Nordlánnda,2011,2026,4600,4486,-114,-0.024782608695652172,-109.0,-2.0,-114.0,-3.0,0.0,0.0,2011,0.0,15,true,233
4645,Askvoll,46,Vestland,2011,2026,3000,2924,-76,-0.025333333333333333,-178.0,103.0,-76.0,-1.0,0.0,0.0,2011,0.0,15,true,234
3338,Nore og Uvdal,33,Buskerud,2011,2026,2524,2459,-65,-0.025752773375594295,-175.0,113.0,-65.0,-3.0,0.0,0.0,2011,0.0,15,true,235
3414,Nord-Odal,34,Innlandet,2011,2026,5113,4978,-135,-0.0264032857422257,-513.0,378.0,-135.0,0.0,0.0,0.0,2011,0.0,15,true,236
4201,Risør,42,Agder,2011,2026,6871,6683,-188,-0.027361373890263427,-378.0,273.0,-87.0,18.0,-101.0,0.0147985347985348,2024,0.0,15,false,
5045,Grong,50,Trøndelag - Trööndelage,2011,2026,2357,2292,-65,-0.027577428935086974,-60.0,-10.0,-65.0,5.0,0.0,0.0,2011,0.0,15,true,237
1539,Rauma,15,Møre og Romsdal,2011,2026,7400,7195,-205,-0.027702702702702704,-129.0,341.0,206.0,-6.0,-411.0,0.05503481521156936,2020,0.0,15,false,
5542,Skjervøy,55,Troms - Romsa - Tromssa,2011,2026,2885,2802,-83,-0.028769497400346622,-87.0,5.0,-83.0,-1.0,0.0,0.0,2011,0.0,15,true,238
3422,Åmot,34,Innlandet,2011,2026,4317,4191,-126,-0.029186935371785964,-260.0,134.0,-126.0,0.0,0.0,0.0,2011,0.0,15,true,239
4014,Kragerø,40,Telemark,2011,2026,10695,10378,-317,-0.029640018700327255,-563.0,242.0,-317.0,4.0,0.0,0.0,2011,0.0,15,true,240
3448,Nordre Land,34,Innlandet,2011,2026,6716,6510,-206,-0.030673019654556283,-522.0,313.0,-206.0,3.0,0.0,0.0,2011,0.0,15,true,241
3416,Eidskog,34,Innlandet,2011,2026,6299,6103,-196,-0.031116050166693127,-614.0,417.0,-196.0,1.0,0.0,0.0,2011,0.0,15,true,242
5628,Deatnu - Tana,56,Finnmark - Finnmárku - Finmarkku,2011,2026,2897,2806,-91,-0.03141180531584398,-147.0,53.0,-91.0,3.0,0.0,0.0,2011,0.0,15,true,243
5046,Høylandet,50,Trøndelag - Trööndelage,2011,2026,1270,1230,-40,-0.031496062992125984,-65.0,26.0,-40.0,-1.0,0.0,0.0,2011,0.0,15,true,244
4034,Tokke,40,Telemark,2011,2026,2316,2242,-74,-0.03195164075993091,-180.0,105.0,-74.0,1.0,0.0,0.0,2011,0.0,15,true,245
3438,Sør-Fron,34,Innlandet,2011,2026,3212,3108,-104,-0.0323785803237858,-190.0,87.0,-104.0,-1.0,0.0,0.0,2011,0.0,15,true,246
3447,Søndre Land,34,Innlandet,2011,2026,5837,5603,-234,-0.0400890868596882,-358.0,124.0,-234.0,0.0,0.0,0.0,2011,0.0,15,true,247
3421,Trysil,34,Innlandet,2011,2026,6754,6474,-280,-0.041456914421083804,-619.0,337.0,-280.0,2.0,0.0,0.0,2011,0.0,15,true,248
3124,Aremark,31,Østfold,2011,2026,1414,1354,-60,-0.042432814710042434,-78.0,12.0,-60.0,6.0,0.0,0.0,2011,0.0,15,true,249
